Time,Cell Name,eNodeB ID,eNodeB Name,TAC,Region,Subregion,Latitude,Longtitude,Overall CEI,Data CEI,VoLTE CEI,Streaming CEI,Gaming CEI,IM CEI,Data-RRC Setup SR (%),Data-Call Setup time (ms),Data-ERAB Setup SR (%),Data-Attech SR (%),Data-Bearer Create SR (%),Data-Retransmissions (%),Data-Throughput (Mbps),VoLTE-RRC Setup SR (%),VoLTE-Call Setup time (ms),VoLTE-Drop Call Rate (%),VoLTE-ERAB Setup SR (%),VoLTE-Registration SR (%),VoLTE-Registration Latency (ms),VoLTE-MOS,Streaming-Throughput (Mbps),Streaming-Latency (ms),Streaming-Retransmissions (%),Streaming-Buffering Time (msec),Streaming-The number of Rebuffering,Streaming-MOS,Streaming-Jitter,Streaming-Dropped Frame Rate (%),Streaming-Inter Packet delay (msec),Streaming-Packet Loss Rate,Gaming-Throughput (Mbps),Gaming-Latency (ms),Gaming-Retransmissions (%),Gaming-MOS,Gaming-Jitter,Gaming-Dropped Frame Rate (%),Gaming-Inter Packet delay (msec),Gaming-Packet Loss Rate (%),IM-Throughput (Mbps),IM-Latency (ms),IM-Retransmissions (%),IM-Dropped Frame Rate,IM-Inter Packet delay (msec),IM-Packet Loss Rate (%)
1200,735893-2,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,62.88,77.28,78.76,68.74,70.4,69.38,82.4,784.36,83.47,80.7,83.99,7.96,0.41,85.23,727.5,8.3,85.04,88.36,1925.6,1,0.07,1732.86,9.82,2201.58,17.69,1,268.23,15.11,218.28,7.33,0.35,1486.32,8.9,1,390.63,18.73,299.75,6.87,0.42,1495.51,19.48,8.1,433.11,13.24
1200,735893-7,735893,Blk 870 Yishun St 81,710,YSH,N,1.413111111,103.8380278,99.55,78.61,95.09,97.19,96.5,98.71,86.25,865.15,81.11,85.17,83.95,9.52,0.31,98.36,148.74,0.77,98.5,99.63,64.97,4,3.94,86.14,0.26,590.77,3,5,73.59,0.42,19.99,0.27,3.59,89.95,0.44,4,90.45,0.31,58.89,0.45,2.52,28.4,0.3,0.47,80.57,0.93
1200,736643-5,736643,Blk 114 Yishun Ring Road Lobby C D,710,YSH,N,1.435027778,103.8270278,74.74,78.11,79.03,63.39,74.49,72.51,82.68,928.64,87.57,89.03,80.24,5.32,0.14,82.84,1472.98,13.56,89.42,83.9,1121.53,1,0.42,1160.04,4.29,3245.25,17.01,1,347.9,16.15,493.25,13.64,0.36,1540.1,6.97,1,418.13,17.48,414.91,18.15,0.22,822.35,14.44,13.92,305.85,8.02
1200,736663-5,736663,Blk 141 Yishun Ring Rd,710,YSH,N,1.430777778,103.8305833,68.21,68.08,70.82,73.85,70.35,71.3,90,1587.85,86.4,85.53,88.35,4.78,0.18,89.61,1683.1,3.72,89.16,83.73,1111.11,2,0.01,1108.92,19.62,2620.43,12.36,1,356.17,11.6,216.56,14.01,0.13,1615.47,6.26,2,320.3,6.98,210.86,16.94,0.48,1710.41,14.56,16.59,269.65,15.01
1200,736743-14,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,78.43,66.42,76.61,76.64,75.18,63.17,83.8,1809.95,87.81,85.93,84.17,2.97,0.37,82.41,1114.5,15.26,88.64,82.9,1049.31,2,0.36,1746.83,17.91,2009.73,18.51,1,394.35,6.36,375.57,10.64,0.24,1679.42,17.44,1,439.43,13.89,224.33,12.77,0.25,1550.22,17.04,17.73,482.11,17.93
1200,736743-2,736743,Blk 324 Sembawang Close,710,SMB,N,1.444527778,103.8180833,79.06,68.67,68.04,66.57,71.2,77.83,89.49,1659.91,88.25,88.23,80.71,5.66,0.24,85.33,630.39,13.83,86.95,89.39,846.22,1,0.2,1264.32,12.27,3468.34,17.53,1,495.12,10.15,406.09,17.39,0.48,1373.23,12.25,2,244.38,15.51,263.86,12.11,0.14,1982.7,11.12,16.08,489.68,8.55
1200,737213-9,737213,Blk 652 Yishun Ave 4,710,YSH,N,1.423555556,103.8401944,78.7,74.77,65.97,65.13,66.84,65.29,89.55,1994.86,82.82,83.51,87.37,7.45,0.19,89.28,1090.52,5.36,85.04,88.15,652.92,2,0.41,690.74,5.45,3102.47,16.82,1,239.17,17.17,223.62,11.78,0.28,691.01,3.4,1,277.63,14.67,258.83,11.84,0.3,971.25,19.37,12.79,481.58,9.69
1200,742233-1,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,95.88,66.17,96.68,97.36,97.83,96.8,80.88,1587.39,84.49,82.69,89.99,3.02,0.21,98.87,197.84,0.5,98.02,97.52,79.72,5,1.14,60.57,0.17,127.1,3,4,87.05,0.33,84.09,0.97,1.46,61.18,0.15,5,68.34,0.27,35.24,0.22,1.69,30.72,0.17,0.53,45.77,0.63
1200,742233-7,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,67.96,68.71,71.9,61.16,67.58,63.19,89.77,1453.78,82.17,84.13,89.02,3.51,0.31,88.74,1227.43,17.94,80.1,82.74,1813.63,2,0.15,1277.61,19.88,4956.25,13.94,1,477.57,6.61,241.88,18.12,0.08,1675.75,6.89,1,293.66,11.17,497.93,14.8,0.34,1618.76,13.19,14.51,438.86,18.59
1200,742233-9,742233,Blk 440 Yishun Ave 11,710,YSH,N,1.422361111,103.8463611,78.29,70.19,74.52,76.58,60.9,73.28,82.36,1815.18,89.15,82.38,82.68,2.61,0.4,81.87,1224.62,8.67,80.84,89.43,1435.36,1,0.45,570.8,5.32,3365.31,15.88,1,355.44,16.69,317.39,8.01,0.5,956.79,4.43,2,324.39,8.37,205.68,18.38,0.03,1613.59,6.47,7.22,394.01,17.2
