2015-1,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Albania,Vodafone(ALBANIA),276/02,1-Jul,-97.72,-12.86,0.03,0.27,0.42,0.09,0.73,0.39,0.07,0.1,227987,2741,25780,3099
Australia,Vodafone Hutchison,505/03,1-Jul,-92,-8.38,0.32,0.24,0.99,0.59,0.64,0.38,0.08,0.79,143364,1164,78973,5452
Australia,Optus,505/02,1-Jul,-72.35,-14.12,0.22,0.21,0.57,0.86,0.83,0.09,0.47,0.63,801099,3211,30455,7491
Australia,Telstra,505/01,1-Jul,-118.72,-10,0.47,0.05,0.45,0.04,0.44,0.75,0.34,0.36,291111,4250,90405,6610
Austria,A1 Austria Telekom (Mobilkom),232/01,1-Jul,-159.67,-6.96,0.03,0.77,0.34,0.38,0.46,0.59,0.65,0.93,427428,7508,24318,1345
Austria,H3G(AUSTRIA),232/10,1-Jul,-79.31,-13.75,0.83,0.28,0.29,0.95,0.35,0.5,0.3,0.1,427503,5449,36750,7313
Bahrain,Viva,426/04,1-Jul,-70.66,-13.58,0.97,0.38,0.87,0.03,0.26,0.28,0.12,0.55,506005,3035,22704,8743
Bahrain,Batelco,426/01,1-Jul,-74.16,-10.09,0.62,0.78,0.73,0.44,0.8,0.51,0.23,0.7,644227,3809,28678,1415
Bahrain,Zain/Vodafone/MTC,426/02,1-Jul,-95.04,-13.84,0.1,0.33,0.8,0.44,0.19,0.46,0.39,0.18,812329,2470,62244,8575
Belgium,"Base (KPN,Orange)",206/20,1-Jul,-74.07,-8.82,0.64,0.75,0.21,0.86,0.83,0.7,0.94,0.11,333931,4054,23625,1568
Belgium,Mobistar S.A.,206/10,1-Jul,-63.84,-11.71,0.55,0.36,0.27,0.58,0.15,0.43,0.38,0.57,161539,7768,83362,1202
