Country,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Albania,Vodafone(ALBANIA),276/02,2015-1,-116.09,-13.75,0.9,0.41,0.36,0.76,0.14,0.76,0.05,0.77,707866,5376,15366,3813
Australia,Vodafone Hutchison,505/03,2015-1,-131.9,-11.8,0.46,0.62,0.99,0.04,0.28,0.29,0.55,0.34,329037,1322,61229,8599
Australia,Optus,505/02,2015-1,-77.19,-9.48,0.07,0.78,0.89,0.66,0.62,0.52,0.63,0.68,534149,3737,32545,2163
Australia,Telstra,505/01,2015-1,-68.95,-10.76,0.57,0.6,0.21,0.58,0.78,0.56,0.51,0.39,539433,5971,15584,9816
Austria,A1 Austria Telekom (Mobilkom),232/01,2015-1,-150.29,-8.55,0.46,0.06,0.53,0.23,0.97,0.31,0.69,0.56,950650,8025,19219,4725
Austria,H3G(AUSTRIA),232/10,2015-1,-88.87,-12.98,0.26,0.03,0.07,0.36,0.86,0.69,0.02,0.92,703524,4776,14528,4682
Bahrain,Viva,426/04,2015-1,-122.05,-13.25,0.46,0.08,0.94,0.83,0.88,0.77,0.59,0.3,613827,5702,94746,4211
Bahrain,Batelco,426/01,2015-1,-144.51,-7.56,0.45,0.46,0.09,0.6,0.35,0.26,0.89,0.27,152301,1681,35810,3818
Bahrain,Zain/Vodafone/MTC,426/02,2015-1,-138.77,-14.81,0.51,0.12,0.53,0.61,0.15,0.37,0.71,0.54,461371,9665,91049,1625
Belgium,"Base (KPN,Orange)",206/20,2015-1,-120.93,-9.25,1,0.81,0.4,0.1,0.82,0.88,0.25,0.1,678988,7750,42427,8567
Belgium,Mobistar S.A.,206/10,2015-1,-156.52,-9.99,0.38,0.16,0.71,0.49,0.14,0.4,0.24,0.83,208587,4843,88330,6356
Belgium,Belgacom Mobile,206/01,2015-1,-79.18,-14.82,0.4,0.48,0.63,0.65,0.3,0.35,0.1,0.42,542065,8445,99479,5542
Brazil,Vivo S.A,724/10,2015-1,-120.48,-11.66,0.72,0.71,0.45,0.18,0.11,0.13,0.52,0.56,360985,4605,75169,5212
Brazil,TIM,724/04,2015-1,-154.44,-8.98,0.34,0.1,0.15,0.19,0.25,0.82,0.6,0.19,536663,3946,57929,2511
Bulgaria,Mobiltel,284/01,2015-1,-73.89,-9.16,0.9,1,0.16,0.77,0.29,0.27,0.89,0.5,189347,5817,48691,8419
Canada,Bell Mobility,302/610,2015-1,-149.98,-8.58,0.5,0.7,0.92,0.32,0.56,0.56,0.35,0.1,212183,7036,28923,8681
Canada,Telus Mobility,302/220,2015-1,-139.76,-6.13,0.65,0.24,0.16,0.78,0.5,0.49,0.09,0.5,734764,7449,24166,6239
China,China Mobile,460/07,2015-1,-144.4,-12.8,0.73,0.16,0.19,0.73,0.19,0.09,0.19,0.56,970010,5415,94519,1428
China,China Unicom,460/01,2015-1,-157.3,-8.02,0.15,0.57,0.26,0.25,0.7,0.82,0.59,0.3,948255,1251,97569,6845
China,China Mobile,460/02,2015-1,-130.77,-13.32,0.31,0.81,0.68,0.93,0.79,0.79,0.99,0.91,973188,6394,33819,3939
China,China Mobile,460/00,2015-1,-65.98,-11.31,0.76,0.1,0.25,0.78,0.59,0.29,0.38,0.99,831554,1515,32549,6079
Croatia,Croatian Telecom (ex T- Mobile),219/01,2015-1,-127.82,-12.71,0.52,0.59,0.34,0.69,0.69,0.71,0.2,0.21,693562,5828,75468,2081
Croatia,VIP-net,219/10,2015-1,-66.31,-11.34,0.11,0.84,0.18,0.12,0.87,0.19,0.19,0.93,603383,9820,24613,9939
Czech Republic,Telefonica O2 (Eurotel),230/02,2015-1,-136.22,-7.89,0.47,0.1,0.17,0.54,0.55,0.82,0.57,0.05,526863,2950,23534,2203
Denmark,Telenor (Sonofon),238/02,2015-1,-128.84,-12.71,0.53,0.67,0.54,0.13,0.77,0.4,0.57,0.01,308946,9127,95508,2584
Dominica Rep.,"Orange Dominicana, S.A.",370/01,2015-1,-98.51,-12.25,0.27,0.66,0.37,0.34,0.17,0.59,0.13,0.85,440118,1711,73852,4967
