Country,Operator,MCC/MNC,TIME,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Albania,Vodafone(ALBANIA),276/02,W1,-64.42,-6.73,0.53,0.01,0.07,0.27,0.32,0.25,0.31,0.64,161065,7369,76646,7277
Australia,Vodafone Hutchison,505/03,W1,-94.43,-6.25,0.19,0.07,0.32,0.1,0.76,0.25,0.97,0.47,110475,9206,33057,3695
Australia,Optus,505/02,W1,-137.69,-9.39,0.86,0.94,0.75,0.15,0.13,0.6,0.8,0.14,824842,4216,80639,8504
Australia,Telstra,505/01,W1,-95.29,-10.82,0.03,0.11,0.93,0.08,0.85,0.13,0.92,0.7,845194,7495,50666,7919
Austria,A1 Austria Telekom (Mobilkom),232/01,W1,-67.24,-11.26,0.05,0.52,0.53,0.86,0.89,0.45,0.5,0.69,733397,3858,91012,4637
Austria,H3G(AUSTRIA),232/10,W1,-67.5,-10.57,0.42,0.73,0.47,1,0.56,0.52,0.89,0.75,687239,6328,64413,9155
Bahrain,Viva,426/04,W1,-111.36,-6.98,0.01,0.77,0.94,0.89,0.84,0.67,0.87,0.03,472008,7581,76640,6462
Bahrain,Batelco,426/01,W1,-144.01,-11.34,0.37,0.51,0.52,0.8,0.57,0.86,0.88,0.41,150445,3278,47895,5929
Bahrain,Zain/Vodafone/MTC,426/02,W1,-111.44,-11.13,0.85,0.83,0.23,0.36,0.62,0.61,0.75,0.37,326587,2746,97894,6010
Belgium,"Base (KPN,Orange)",206/20,W1,-62.22,-14.07,0.5,0.08,0.07,0.88,0.89,0.2,0.44,0.38,269660,6510,66206,7571
Belgium,Mobistar S.A.,206/10,W1,-147.62,-9.12,0.72,0.48,0.06,0.32,0.97,0.26,0.16,0.6,539134,8376,73729,7252
Belgium,Belgacom Mobile,206/01,W1,-120.49,-7.48,0.44,0.04,0.73,0.14,0.79,0.53,0.4,0.23,209760,2547,30913,2801
Brazil,Vivo S.A,724/10,W1,-63.54,-8.42,0.67,0.17,0.31,0.4,0.15,0.41,0.99,1,260230,9828,70679,1199
Brazil,TIM,724/04,W1,-70.96,-10.75,0.74,0.34,0.75,0.5,0.03,0.22,0.58,0.91,169300,2205,57370,2860
Bulgaria,Mobiltel,284/01,W1,-101.92,-14.1,0.21,0.43,0.57,0.43,0.72,0.5,0.35,0.97,820606,3562,45837,6609
Canada,Bell Mobility,302/610,W1,-134.13,-10.67,0.5,0.38,0.62,0.89,0.82,0.08,0.05,0.33,257613,6898,57271,5449
Canada,Telus Mobility,302/220,W1,-124.21,-6.57,0.75,0.74,0.87,0.2,0.85,0.58,0.44,0.92,855898,6939,98575,3567
China,China Mobile,460/07,W1,-60.67,-13.05,0.09,0.85,0.34,0.98,0.24,0.31,0.59,0.19,841738,1359,26115,9544
China,China Unicom,460/01,W1,-150.7,-13.7,0.26,0.21,0.87,0.42,0.75,0.11,0.66,0.41,780048,4999,11873,3387
China,China Mobile,460/02,W1,-107.73,-12.09,0.64,0.73,0.63,0.08,0.77,0.69,0.27,0.58,369838,7879,29978,5837
China,China Mobile,460/00,W1,-156.9,-7.77,0.44,0.04,0.51,0.04,0.32,0.49,0.07,0.72,155801,1335,20504,2310
Croatia,Croatian Telecom (ex T- Mobile),219/01,W1,-119.04,-6.68,0.35,0.67,0.65,0.74,0.32,0.32,0.91,0.84,436536,9751,33958,6521
Croatia,VIP-net,219/10,W1,-80.94,-14.29,0.05,0.9,0.99,0.81,0.83,0.03,0.6,0.22,878369,6561,84040,3020
Czech Republic,Telefonica O2 (Eurotel),230/02,W1,-74.75,-8.81,0.07,0.68,0.07,0.67,0.99,0.43,0.37,0.99,107534,8203,88395,7961
Denmark,Telenor (Sonofon),238/02,W1,-87.09,-13.14,0.54,0.22,0.14,0.07,0.35,0.96,0.12,0.19,643317,4837,24343,8724
Dominica Rep.,"Orange Dominicana, S.A.",370/01,W1,-76.87,-8.66,0.74,0.15,0.21,0.44,0.34,0.88,0.2,0.72,653382,5347,51006,6566
Egypt,Vodafone(EGYPT),602/02,W1,-68.65,-14.1,0.56,0.36,0.65,0.34,0.62,0.84,0.67,0.88,189576,5278,45758,2508
Egypt,Etisalat Misr,602/03,W1,-120.61,-7.57,0.36,0.1,0.24,0.28,0.31,0.05,0.84,0.11,232314,4664,18459,8393
Estonia,Tele2(ESTONIA),248/03,W1,-105.79,-7.08,0.11,0.49,0.36,0.1,0.47,0.56,0.69,0.9,508115,1487,27747,5657
France,SFR (Cegetel),208/10,W1,-119.93,-8.5,0.48,0.37,0.53,0.25,0.63,0.35,0.93,0.92,854626,7408,21982,4258
France,Orange (Iteneris),208/01,W1,-142.11,-8.2,0.13,0.18,0.33,0.02,0.02,0.76,0.53,0.52,174986,7665,71255,2775
France,Free Mobile,208/15,W1,-141.23,-8.62,0.17,0.23,0.17,0.02,0.54,0.84,0.16,0.27,460479,2324,57586,9959
