Countries,States,Time,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (KB),Data UL Throughput (KB)
Autauga,Alabama,2/1,-60,-13,3.38,4.9,6.54,14,632682,0.1,4.87,11.47,968303,44973,40609,1431
Baldwin,Alabama,2/1,-109,-11,3.8,0.26,3.61,2.1,922300,1.15,4.69,3.22,560866,48529,44622,2763
Barbour,Alabama,2/1,-64,-8,2.49,3.46,8.12,2.6,456658,3.62,4.64,11.14,591559,48672,4714,517
Bibb,Alabama,2/1,-95,-10,3.5,2.75,8.99,8.8,876684,3.57,2.18,11.09,532548,49921,43074,4492
Blount,Alabama,2/1,-68,-15,2.28,2.15,6.21,1.6,944619,5.17,3.14,7.21,786375,9388,35453,238
Bullock,Alabama,2/1,-74,-7,1.62,2.99,4.49,7.9,305020,5.11,5.48,11.18,113763,12483,15253,2919
Butler,Alabama,2/1,-104,-10,1.07,4.43,6.36,18.4,425137,1.33,0.53,3.85,996555,26792,48840,4858
Calhoun,Alabama,2/1,-111,-10,5.19,5.13,6.51,16.1,753275,3.44,3.51,10.92,135635,49874,21751,1199
Chambers,Alabama,2/1,-85,-13,0.74,1.22,0.2,12.6,840819,4.29,4.68,3.81,272645,25865,23391,2962
Cherokee,Alabama,2/1,-60,-14,3.12,5.49,11.71,13.2,297454,4.11,5.07,5.8,537732,25849,35901,175
Chilton,Alabama,2/1,-99,-15,3.48,1.26,2.87,6.4,137493,0.76,2.78,4.2,688821,47941,33451,2599
Choctaw,Alabama,2/1,-112,-9,0.81,2.59,11.19,6.2,412027,0.49,3.43,10.75,324388,17770,23921,317
Clarke,Alabama,2/1,-69,-13,3.02,1.53,6.67,4.2,462308,4.92,0.72,10.66,686505,5107,34015,596
Clay,Alabama,2/1,-85,-6,1.87,0.67,1.01,2.7,888785,0.23,3.97,2.51,605617,13066,5479,3300
Cleburne,Alabama,2/1,-112,-7,1.06,2.93,7.9,19.6,514584,0.52,0.49,5.09,375043,14030,9818,3266
Coffee,Alabama,2/1,-103,-6,4.04,1.88,2.46,18.2,485434,5.47,1.69,10.7,888848,38044,30545,714
Colbert,Alabama,2/1,-80,-9,3.32,4.85,7.89,9.5,422376,3.11,4.37,8.27,484094,9951,12117,1605
Conecuh,Alabama,2/1,-96,-15,1.03,0.82,4.69,3.1,636534,3.42,0.9,2.36,236164,5995,1628,2530
Coosa,Alabama,2/1,-112,-8,4.12,4.95,9.71,8.2,705605,1.39,1.32,6.92,209513,41215,13914,4710
Covington,Alabama,2/1,-108,-8,0.82,3.82,2.1,17.4,353139,4.24,3.83,2.36,858409,46343,16534,1171
Crenshaw,Alabama,2/1,-67,-9,2.25,1.98,6.34,2.9,444927,3.24,3.85,1.76,868844,37311,38013,1008
Cullman,Alabama,2/1,-105,-10,3.84,0.36,0.41,1.3,340813,0.83,1.67,1.71,439645,19829,31181,770
Dale,Alabama,2/1,-68,-9,3.06,0.29,4.65,16.7,846219,1.67,1.87,4.95,983984,25058,37778,113
Dallas,Alabama,2/1,-69,-13,1.65,3.48,6.5,4.1,302130,2.11,1.99,2.29,198827,46403,39186,1734
DeKalb,Alabama,2/1,-104,-6,0.73,3.02,10.7,18.9,679293,3.35,1.4,6.54,805620,4160,33750,4967
Elmore,Alabama,2/1,-70,-8,4.25,1.08,11.15,8.4,644990,0.34,3.1,6.7,659438,7170,23497,4186
Escambia,Alabama,2/1,-83,-15,4.35,4.86,1.1,13.1,354443,0.45,2.75,2.48,816372,39357,1442,1200
