Countries,States,Time,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (KB),Data UL Throughput (KB)
Autauga,Alabama,9:00,-60.93,-7.87,1.16,0.77,0.3,4.55,120914,0.56,0.09,0.01,6522450,3807,48091,703
Baldwin,Alabama,9:00,-69.16,-7.01,1.14,1.63,0.35,5,740415,0.33,0.1,0.05,3036606,1080,53890,384
Barbour,Alabama,9:00,-68.2,-7.72,0.69,0.65,0.21,4.24,613556,0.55,0.07,0.02,4030535,8101,9031,821
Bibb,Alabama,9:00,-66.26,-6.18,1.49,1.97,0.48,2.06,964483,0.42,0.01,0.05,8818826,8301,21500,547
Blount,Alabama,9:00,-69.43,-6.72,0.91,1.86,0.5,3.98,793179,0.11,0.09,0.09,7873123,5184,30781,677
Bullock,Alabama,9:00,-66.92,-7.49,1.49,1.53,0.25,4.54,200291,0.11,0.02,0.06,3468393,8924,17098,877
Butler,Alabama,9:00,-68.45,-6.74,1.3,0.72,0.3,4.24,940604,0.53,0.1,0.06,7250958,9405,73477,300
Calhoun,Alabama,9:00,-69.72,-7.03,1.59,1.76,0.36,2.99,700835,0.56,0.07,0.05,3070154,7634,63170,673
Chambers,Alabama,9:00,-65.87,-6.66,0.84,1.96,0.15,2.77,334561,0.11,0.1,0.07,7320688,1546,24815,434
Cherokee,Alabama,9:00,-68.78,-7.17,1.92,1.38,0.11,2.67,939696,0.58,0.02,0.07,3778085,1694,39822,675
Chilton,Alabama,9:00,-67.73,-7.53,0.72,1.61,0.45,4.37,818626,0.18,0.09,0.1,7727836,5937,5550,683
Choctaw,Alabama,9:00,-75.4,-7.07,0.94,1.12,0.17,3.6,883804,0.52,0.05,0.05,3559362,6924,9907,769
Clarke,Alabama,9:00,-68.43,-7.09,1.39,0.82,0.5,4.37,924357,0.47,0.05,0.06,4166328,6263,70712,844
Clay,Alabama,9:00,-69.71,-6.66,1.09,0.83,0.26,2.73,813710,0.44,0.03,0.05,8385318,5983,19428,268
Cleburne,Alabama,9:00,-62.97,-6.07,1.39,1.43,0.48,4.42,231329,0.37,0.04,0.04,7745026,1698,18702,428
Coffee,Alabama,9:00,-68.83,-6.29,0.67,1.4,0.12,4.1,375902,0.25,0.02,0.02,6851590,3263,67115,390
Colbert,Alabama,9:00,-71.38,-7.76,1.08,1.45,0.33,2.42,192384,0.35,0.04,0.08,7608253,8513,5055,127
Conecuh,Alabama,9:00,-66.34,-7.43,1.09,0.66,0.22,3.94,551266,0.56,0.08,0.02,7751970,8178,51371,754
Coosa,Alabama,9:00,-67.08,-7.15,0.62,1.86,0.36,3.16,834340,0.35,0.09,0.02,7419186,5872,36372,444
Covington,Alabama,9:00,-61.63,-6.48,1.23,1.15,0.34,4.4,959502,0.39,0.08,0.04,5154767,8160,73607,599
Crenshaw,Alabama,9:00,-70.19,-6.38,0.6,1.18,0.45,3.54,772830,0.43,0.01,0.06,3070491,3736,61942,869
Cullman,Alabama,9:00,-62.99,-7.15,1.01,1.79,0.37,3.42,814832,0.59,0.06,0.05,3075505,6690,7754,196
Dale,Alabama,9:00,-61.71,-6.51,2,0.64,0.24,3.56,251134,0.22,0.01,0.03,3886343,7616,55835,544
Dallas,Alabama,9:00,-62.09,-7.24,1.89,1.34,0.16,4.99,511717,0.21,0.07,0.01,4856591,4578,4117,306
DeKalb,Alabama,9:00,-68.65,-6,0.99,1.03,0.19,2.55,239175,0.24,0.03,0.02,3918944,7593,37622,118
Elmore,Alabama,9:00,-61.75,-7.31,1.86,1.51,0.49,4.44,245119,0.38,0.1,0.04,3877694,5684,25112,286
Escambia,Alabama,9:00,-64.97,-7.29,1.71,1.05,0.44,3.16,271815,0.42,0.03,0.1,5686656,6061,25220,627
Etowah,Alabama,9:00,-71.4,-6.58,1.03,0.6,0.34,3.04,826779,0.21,0.04,0.06,4662643,7662,35748,177
Fayette,Alabama,9:00,-64.96,-6.14,1.84,0.78,0.13,3.72,194440,0.31,0.07,0.01,8036081,7180,37279,892
Franklin,Alabama,9:00,-67.39,-6.12,1.09,0.94,0.25,4.82,223129,0.28,0.06,0.05,5026198,4128,26504,899
Geneva,Alabama,9:00,-60.3,-7.13,1.33,1.41,0.11,3.32,861217,0.37,0.02,0.04,8729010,9230,40910,440
Greene,Alabama,9:00,-67.55,-6.6,1.27,1.36,0.49,4.73,894426,0.19,0.03,0.06,6375368,1954,35963,875
Hale,Alabama,9:00,-69.1,-6.75,1.38,1.68,0.28,4.63,392926,0.11,0.03,0.08,5720446,9976,20755,275
Henry,Alabama,9:00,-74.13,-6.62,1.57,1.41,0.48,3.83,216057,0.34,0.06,0.09,5700997,3251,11677,356
Houston,Alabama,9:00,-64.04,-6.09,1.57,0.76,0.3,3.15,367126,0.12,0.08,0.04,5386740,6472,10519,482
Jackson,Alabama,9:00,-72.93,-6.59,1.31,1.68,0.48,2.17,441065,0.24,0.08,0.02,6932584,6468,68325,728
Jefferson,Alabama,9:00,-67.45,-7.73,1.05,1.06,0.27,4.88,702682,0.17,0.08,0.09,6017022,9061,22537,754
Lamar,Alabama,9:00,-60.98,-6.05,1.55,1.33,0.2,2.57,887546,0.3,0.04,0.09,6328700,7879,47270,274
Lauderdale,Alabama,9:00,-66.11,-6.78,0.72,1.38,0.27,2.32,540389,0.2,0.08,0.02,4928407,2581,77490,308
Lawrence,Alabama,9:00,-72.91,-7.7,1.99,1.41,0.29,2.23,892553,0.21,0.04,0.03,7259436,7323,76612,206
Lee,Alabama,9:00,-63.96,-6.05,1.84,1.79,0.42,3.73,593912,0.15,0.02,0.04,8166915,7498,31832,503
Limestone,Alabama,9:00,-60.21,-6.6,0.81,1.64,0.16,4.29,794642,0.54,0.08,0.06,5517426,6451,74288,884
Lowndes,Alabama,9:00,-68.77,-6.56,0.75,1.86,0.42,2.52,594995,0.56,0.03,0.08,7279589,2203,42482,556
Macon,Alabama,9:00,-71.96,-6.94,1.67,1.66,0.33,2.61,864859,0.22,0.09,0.06,4315619,5195,39535,144
Madison,Alabama,9:00,-65.79,-7.88,0.89,1.37,0.17,2.54,132845,0.25,0.09,0.04,6715646,4378,68718,493
Marengo,Alabama,9:00,-61.05,-6.44,1.71,1.72,0.48,2.94,374092,0.55,0.05,0.07,3176154,3310,9813,582
Marion,Alabama,9:00,-67.25,-6.31,1.82,1.06,0.18,4.18,399630,0.54,0.01,0.01,5958237,6867,72671,884
Marshall,Alabama,9:00,-74.9,-6.58,0.93,0.82,0.42,4.07,282302,0.46,0.06,0.06,5261261,3457,60641,670
Mobile,Alabama,9:00,-70.86,-6.36,1.57,0.96,0.29,3.57,910872,0.6,0.07,0.08,4989896,9638,56476,551
Monroe,Alabama,9:00,-66.33,-7.59,0.9,0.95,0.14,2.96,978471,0.25,0.09,0.03,5633464,8971,63429,622
Montgomery,Alabama,9:00,-73.38,-6.39,1.52,0.63,0.18,3.82,455671,0.37,0.09,0.09,5895210,2852,22663,141
Morgan,Alabama,9:00,-68.79,-6.14,0.69,1,0.29,4.34,815629,0.35,0.06,0.02,8082514,2501,10897,659
Perry,Alabama,9:00,-60.74,-6.89,1.38,1.65,0.18,4.05,637499,0.43,0.02,0.09,4506690,6056,35715,586
Pickens,Alabama,9:00,-62.63,-7.93,1.99,1.2,0.13,4.73,901289,0.34,0.02,0.09,7035403,5626,67098,836
Pike,Alabama,9:00,-60.53,-7.07,1.32,0.6,0.43,2.23,218611,0.29,0.06,0.05,7925862,3936,20537,706
Randolph,Alabama,9:00,-67.39,-7.99,0.99,1.22,0.28,2.99,115663,0.15,0.08,0.09,5300003,6800,17980,639
Russell,Alabama,9:00,-64.02,-6.08,0.71,1.53,0.23,3.46,599880,0.12,0.01,0.07,4998435,9797,30864,241
St. Clair,Alabama,9:00,-60.23,-7.31,1.23,1.13,0.39,3.15,346914,0.48,0.1,0.05,3206138,5804,71683,543
Shelby,Alabama,9:00,-74.82,-6.55,1.49,0.9,0.41,2.15,258778,0.48,0.08,0.1,5069047,6024,25847,672
Sumter,Alabama,9:00,-69.88,-6.72,1.14,1.14,0.2,3.55,153240,0.26,0.02,0.07,4247390,9921,64486,633
Talladega,Alabama,9:00,-64.19,-7.58,0.87,1.93,0.21,4.16,524459,0.12,0.05,0.1,7501611,2656,13549,665
Tallapoosa,Alabama,9:00,-69.59,-6.48,0.63,1.14,0.28,2.59,209565,0.54,0.03,0.09,4956100,9623,12902,140
Tuscaloosa,Alabama,9:00,-64.6,-6.41,1.86,1,0.48,4.49,516688,0.37,0.01,0.09,4227404,8715,17035,467
Walker,Alabama,9:00,-62.47,-7.69,1.92,0.72,0.34,3.58,979466,0.19,0.04,0.09,7838228,6686,51677,274
Washington,Alabama,9:00,-63.49,-6.21,1.38,0.95,0.16,4.25,740731,0.23,0.07,0.03,6273651,9162,72229,117
Wilcox,Alabama,9:00,-74.9,-7.21,0.67,0.85,0.36,2.37,560251,0.16,0.03,0.07,5336902,1754,14224,139
Winston,Alabama,9:00,-72.09,-6.02,1.26,1.14,0.21,2.13,317315,0.25,0.05,0.03,5485559,2275,74623,655
Aleutians East Borough,Alaska,9:00,-66.36,-6.78,1.99,1.76,0.11,3.38,620839,0.46,0.03,0.03,3244843,9899,7882,147
Aleutians West Census Area,Alaska,9:00,-65.64,-7.3,1.58,0.99,0.15,2.73,524288,0.6,0.07,0.04,7794968,4941,45453,402
Anchorage,Alaska,9:00,-67.46,-6.86,0.88,0.64,0.24,3.66,923258,0.51,0.02,0.05,4227396,8181,60217,348
Bethel Census Area,Alaska,9:00,-73.86,-6.52,1.32,1.02,0.2,2.28,541676,0.52,0.1,0.04,3017323,5713,27484,592
Bristol Bay Borough,Alaska,9:00,-69.95,-7.64,1.82,0.75,0.19,4.35,110177,0.55,0.09,0.03,6807847,5092,56589,180
Denali Borough,Alaska,9:00,-69.01,-6.41,1.66,1.19,0.41,3.84,154828,0.47,0.09,0.01,4541124,2009,9541,177
Dillingham Census Area,Alaska,9:00,-60.95,-6.04,1.05,1.22,0.18,3.24,595048,0.29,0.1,0.08,3666842,3879,69583,548
Fairbanks North Star Borough,Alaska,9:00,-64.3,-6.02,0.62,1.9,0.12,4.55,781168,0.55,0.03,0.01,6228142,7815,27508,889
Haines Borough,Alaska,9:00,-60.96,-6.42,1.08,1.01,0.47,3.01,314559,0.41,0.06,0.03,3225608,7479,62843,220
Hoonah-Angoon Census Area,Alaska,9:00,-74.76,-7.68,1.77,1.08,0.3,4.97,264953,0.5,0.04,0.04,4641973,8276,68518,656
Juneau,Alaska,9:00,-68.36,-6.64,1.84,1.63,0.47,2.5,296949,0.45,0.05,0.02,8644952,7852,74407,661
Kenai Peninsula Borough,Alaska,9:00,-67.72,-7.31,1.51,0.8,0.44,2.33,574651,0.55,0.03,0.08,4199182,3132,65067,233
Ketchikan Gateway Borough,Alaska,9:00,-65.8,-6.41,1.53,1.22,0.13,4.97,781799,0.31,0.05,0.04,3033043,6645,27158,610
Kodiak Island Borough,Alaska,9:00,-65.73,-6.66,0.96,1.69,0.37,3.77,605304,0.41,0.06,0.03,3431735,9250,2419,308
Lake and Peninsula Borough,Alaska,9:00,-73.22,-6.05,0.83,1.44,0.25,3.52,232445,0.14,0.09,0.06,7164306,1564,39787,148
Matanuska-Susitna Borough,Alaska,9:00,-74.77,-6.55,1.69,0.8,0.5,4.82,626854,0.23,0.1,0.08,6374748,6548,2934,282
Nome Census Area,Alaska,9:00,-71.1,-7.37,1.54,1.17,0.42,4.33,349223,0.59,0.02,0.1,3628091,8632,71005,239
North Slope Borough,Alaska,9:00,-74.65,-7.81,1.69,0.7,0.15,3.39,135231,0.25,0.05,0.01,7738161,8662,2823,180
Northwest Arctic Borough,Alaska,9:00,-63.79,-7.87,1.69,1.23,0.47,4.31,491566,0.45,0.04,0.03,3497699,7147,9270,826
Petersburg Census Area,Alaska,9:00,-60.63,-6.02,1.79,1.96,0.26,3.55,940633,0.28,0.1,0.1,4429284,3739,61805,276
