,,,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
Country,Operator,MCC/MNC,Time,Coverage,RSRQ,Drop Call (%),Block Call (%),Setup Failure (%),Setup Time (sec),Holding Time (min),Drop Call (%),Block Call (%),Setup Failure (%),DL Volume (MB),UL Volume (MB),DL Throughput (KB),UL Throughput (KB),Call Count
Netherlands,Vodafone(NETHERLANDS),204/04,0:00,-75,-12,1.3,5.45,1.27,16.5,205014,2.96,1.83,11.88,577291,46958,3411,306,1108
Netherlands,T-mobile (ex Ben),204/16,0:00,-102,-9,4.68,0.97,7.15,17,479593,2.51,3.57,3.98,694981,25459,45157,3224,2988
Netherlands,KPN (iBasis),204/08,0:00,-83,-14,2.65,4.59,11.3,19.6,949274,1.31,4.48,5.2,609971,37138,14620,4553,1551
Belgium,Belgacom Mobile,206/01,0:00,-119,-14,5.19,2.22,6.49,3.7,578146,3.04,5.02,10.56,844980,11391,33216,1357,2801
France,Bouygues,208/20,0:00,-60,-10,3.73,4.7,11.94,12.4,891561,2.52,4.41,3.26,903194,19143,5375,4781,2488
France,Free Mobile,208/15,0:00,-90,-16,4.27,4.77,9.22,0.6,393586,3.87,0.21,5.79,142746,25219,26892,3355,1349
France,SFR (Cegetel),208/10,0:00,-73,-13,5.21,5.38,0.11,13.4,557382,2.47,1.32,9.95,167799,45156,35370,3371,119
Andorra,Mobiland/STA,213/03,0:00,-102,-6,3.2,5.44,5.29,10.7,465706,2.37,4.12,3.94,115034,45368,31982,1042,2715
Spain,Telefonica Moviles(SPAIN),214/07,0:00,-104,-15,1.25,1.47,8.99,2.3,197205,4.77,1.33,1.51,164062,30520,37567,4449,2823
Spain,Vodafone (AirTel),214/01,0:00,-93,-10,2.65,2.56,10.38,16.1,309448,0.46,3.8,8.45,216170,31515,24635,740,110
Italy,TIM (Telecom Italia),222/01,0:00,-91,-12,1.91,4.51,11.74,19.8,589646,3.5,1.42,10.74,915428,34453,9895,4254,1701
Italy,H3G(ITALY),222/99,0:00,-92,-7,3.95,1.04,6.24,2.3,413588,5.12,3.94,10.69,323048,30079,9814,1463,949
Italy,Vodafone Omnitel,222/10,0:00,-105,-14,2.64,4.12,2.79,9,774216,3.05,0.24,6.86,475644,34033,35556,1007,797
Switzerland,Swisscom,228/01,0:00,-69,-16,5.48,0.53,6.74,9.7,534566,4.08,1.32,8.56,527751,24407,41491,4350,230
Switzerland,Sunrise DiAx,228/02,0:00,-87,-13,5.12,3.56,3.32,12.9,115420,2.08,4.42,2.15,854485,27537,48213,3269,2542
United Kingdom,Everything Everywhere,234/30,0:00,-97,-14,4.59,4.8,4.68,17.3,726389,3.54,0.92,1.26,999129,3800,44713,299,694
United Kingdom,Telefonica O2 (CellNet),234/10,0:00,-108,-6,1.2,1.83,7.94,5.5,823326,1.55,2.31,9.18,348071,11048,30623,3445,1387
United Kingdom,Jersey Telecom (JT-Wave),234/50,0:00,-102,-9,2.79,3.52,2.36,5.9,182438,3.01,4.35,4.32,508666,26598,5746,2568,493
United Kingdom,Everything Everywhere (ex-Orange),234/33,0:00,-106,-14,4.51,0.9,9.16,5,242078,4.55,5.41,10.46,226673,6405,9489,2122,2335
Sweden,Tele2 - Comviq,240/07,0:00,-80,-6,5.08,1.75,10.68,18.9,142738,2.26,4.22,3.44,788890,17024,39613,4505,1459
Sweden,"Telenor (Vodafone,Europolitn)",240/08,0:00,-60,-6,4.62,4.78,4.96,1.6,133275,4.58,0.89,1.04,426907,43332,3353,437,344
