,,,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
Country,Operator,MCC/MNC,Time,Coverage,RSRQ,Drop Call (%),Block Call (%),Setup Failure (%),Setup Time (sec),Holding Time (min),Drop Call (%),Block Call (%),Setup Failure (%),DL Volume (MB),UL Volume (MB),DL Throughput (KB),UL Throughput (KB),Call Count
Netherlands,Vodafone(NETHERLANDS),204/04,9:00,-112,-16,3.92,2.59,4.05,11.7,741801,4.83,2,9.04,471946,11897,8069,4177,1196
Netherlands,T-mobile (ex Ben),204/16,9:00,-104,-7,0.41,0.11,1.11,4.5,895344,4.32,2.25,9.23,326560,41546,9281,2838,2201
Netherlands,KPN (iBasis),204/08,9:00,-111,-16,5.43,1.65,6.58,2.3,680398,1.6,2.06,0.98,136613,10924,27749,1540,217
Belgium,Belgacom Mobile,206/01,9:00,-64,-16,0.1,0.5,9.73,17.9,398778,0.9,4.45,4.44,798954,11278,42634,1152,161
France,Bouygues,208/20,9:00,-93,-8,3.6,3.57,3.98,0.8,362449,0.31,3.92,6.47,559194,37904,22338,499,249
France,Free Mobile,208/15,9:00,-105,-12,1.12,1.65,0.76,16.1,106092,3.38,4.94,7.78,620712,28818,15824,800,1641
France,SFR (Cegetel),208/10,9:00,-72,-7,4.38,2.22,10.18,3.6,576047,0.43,5.27,11.52,600667,45738,20058,829,1635
Andorra,Mobiland/STA,213/03,9:00,-104,-16,3.37,2.87,3.25,15.4,171547,1.17,3.9,2.72,672811,30853,32272,872,18
Spain,Telefonica Moviles(SPAIN),214/07,9:00,-62,-6,1.42,0.41,4.28,9.7,364015,3.34,0.81,1.47,328857,18085,4437,3767,2720
Spain,Vodafone (AirTel),214/01,9:00,-102,-16,2.19,1.33,4.3,15.3,869667,3.03,1.89,2.19,637432,23726,14250,949,1621
Italy,TIM (Telecom Italia),222/01,9:00,-112,-13,0.62,2.25,4.58,13.4,673406,2.96,1.99,0.58,964216,10201,26214,3570,2694
Italy,H3G(ITALY),222/99,9:00,-83,-11,0.06,5.5,9.94,12.2,466556,2.46,2.99,3.66,278655,34876,13764,2167,633
Italy,Vodafone Omnitel,222/10,9:00,-85,-12,4.56,5.36,11.01,5.4,362065,0.88,4.57,3.23,565592,12307,48223,2668,1627
Switzerland,Swisscom,228/01,9:00,-68,-8,1.66,1.29,10.28,15.9,194060,0.55,3.98,5.13,160477,49801,33623,4604,505
Switzerland,Sunrise DiAx,228/02,9:00,-115,-8,4.8,0.55,3.54,12.8,136252,1.07,5.24,2.74,253749,20132,6166,1441,2433
United Kingdom,Everything Everywhere,234/30,9:00,-67,-8,0.52,3.54,1.92,6.6,306398,5.07,2.28,4.75,122250,44113,8263,454,1206
United Kingdom,Telefonica O2 (CellNet),234/10,9:00,-83,-7,5.05,1.78,10.67,7.7,437668,2.13,4.07,8.99,371468,32861,6735,3156,534
United Kingdom,Jersey Telecom (JT-Wave),234/50,9:00,-100,-16,1.42,1.82,6.86,1.9,538670,0.31,0.23,11.24,555113,35425,33840,1544,100
United Kingdom,Everything Everywhere (ex-Orange),234/33,9:00,-106,-14,1.87,3.47,11,7.3,116787,4.51,2.79,10.53,284507,25022,40616,564,275
Sweden,Tele2 - Comviq,240/07,9:00,-120,-10,5.3,2.61,0.29,10.5,709585,3.6,5.36,1.27,508137,47235,49189,4813,2526
Sweden,"Telenor (Vodafone,Europolitn)",240/08,9:00,-99,-13,1.09,3.5,6.31,5,419932,3.21,2.51,7.5,875718,9343,16692,4961,818
Norway,NetCom TeliaSonera,242/02,9:00,-107,-7,4.7,4.84,7.37,5.8,370667,2.97,5.48,10.77,982415,36744,34844,4535,1590
Estonia,EMT,248/01,9:00,-100,-6,2.35,3.74,11.9,11.5,110425,1.34,0.26,10.24,157613,28155,48718,4534,758
Russia,Vimpelcom Beeline (KB Impuls),250/99,9:00,-93,-12,0.25,0.35,1.06,19,560106,4.16,3.07,5.98,617493,19725,34971,2832,1749
Poland,P4 Play,260/06,9:00,-116,-14,0.16,2.86,6.7,19.2,218753,3.24,5.26,5.45,811961,12059,39168,2594,2834
Germany,E-Plus,262/03,9:00,-90,-7,4.04,0.33,4.4,10.1,655557,0.06,1.82,10.1,458817,31636,19390,2836,650
Germany,Telekom Deutschland (T-Mobile),262/01,9:00,-64,-9,2.85,4.36,1.37,17.6,243378,0.69,4.49,1.16,935432,9174,2283,4848,2953
Germany,Telefonica O2/viag,262/07,9:00,-70,-10,0.17,0.47,3.62,16.1,212943,4.38,4.38,3.54,261348,43494,39837,4865,2525
Portugal,TMN,268/06,9:00,-84,-7,1.01,1.59,8,10.3,550276,1.25,4.25,7.85,687904,9262,27226,1965,2031
Turkey,AVEA (IS-TIM Aria),286/03,9:00,-74,-8,1.09,0.75,9.75,4.8,950989,4.99,3.68,9.5,317807,29178,40366,2476,761
MACEDONIA,T-Mobile (Mobimak),294/01,9:00,-60,-8,5.1,4.07,6.61,0.8,423002,1.88,1.13,6.24,195608,40248,48069,169,348
Canada,Rogers Wireless,302/61,9:00,-97,-8,0.52,2.88,8.32,7.8,932327,3.59,3.01,3.19,243120,36984,22638,935,1643
Canada,Rogers Wireless,302/22,9:00,-88,-8,5.34,2.03,7.03,8.4,376080,2.88,4.09,9.25,919986,3370,49383,1727,2375
United States of America ,AT&T,310/41,9:00,-84,-12,3.09,1.82,2.72,4.9,730027,4.91,0.78,1.55,476998,8269,10514,4631,2842
United States of America ,T-Mobile,310/26,9:00,-108,-16,3.68,3.82,11.38,5.8,983118,2.37,4.3,4.97,380208,3488,14281,3249,2041
United States of America ,Southern Communications dba Southern LINC,310/15,9:00,-98,-16,1.71,3.95,10.14,19.1,388690,0.64,1.1,5.09,230399,16402,35180,1844,1245
Unted States,Verizon Wireless,311/48,9:00,-97,-16,4.87,2.6,6.83,3.7,211563,0.38,3.98,0.6,698976,46419,20039,1234,950
India,Airtel (Kolkata),404/31,9:00,-82,-9,3.1,2.65,3.98,14.5,742746,1.84,3.84,2.89,340620,33079,21460,2630,1834
India,Airtel (Andhra Pradesh),404/49,9:00,-66,-16,0.75,0.37,6.36,12.6,599954,1.18,1.06,7.86,579289,47627,16455,1095,2630
India,Airtel (Mumbai),404/92,9:00,-108,-14,0.97,3.49,3.17,18,958800,4.47,5.22,10.01,312779,2177,33450,2907,2484
India,Airtel (Kerala),404/95,9:00,-93,-13,1.63,2.34,11.31,19.8,359806,3.04,4.54,5.44,409207,45349,21164,1748,166
India,AirTel (Chennai),404/03,9:00,-97,-13,4.03,2.9,11.36,0.6,929932,1.16,1.58,5.24,555823,48889,20762,2872,284
India,Vodafone India (Mumbai) Hutchison Orange,404/20,9:00,-89,-13,1.89,3.57,11.92,6.2,958118,0.25,5.06,5.59,438255,4757,36776,2221,1929
India,Airtel (Karnataka),404/45,9:00,-105,-9,5.23,0.49,10.81,13.4,198930,0.93,2.83,4.75,619529,33354,25954,642,1675
India,Airtel (Maharashtra & Goa),404/90,9:00,-109,-15,2.62,1.15,5.06,3.1,907644,2.01,1.12,1.86,937084,1328,12918,1785,1907
India,India(404),404/94,9:00,-104,-9,4.14,4.74,0.7,9.9,914613,1.51,0.58,2.43,110488,22365,31155,4270,2811
India,AirTel (Chennai),404/02,9:00,-81,-11,2.48,4.36,1.2,15.3,111056,4.17,0.3,1.68,645084,32385,26328,2295,433
India,Airtel (Uttar Pradesh W),404/97,9:00,-102,-15,5.41,5.02,9.23,7.2,948155,5.13,4.78,0.31,519756,47816,11585,443,1375
India,Vodafone (New Delhi) Hutchision Essar,404/11,9:00,-61,-16,3.12,1.8,7.29,7.5,280160,1.65,1.41,7.09,414379,41738,22256,157,1075
India,AirTel (Chennai),404/40,9:00,-95,-13,4.07,5.4,1.91,18.8,782405,0.94,0.41,1.06,936095,40415,44239,116,1433
India,"Airtel (Rajasthan),Hexacom",404/70,9:00,-90,-15,0.35,3.46,9.46,8.1,213425,3.08,2.52,4.11,954639,1306,23945,4430,1560
India,Airtel (Madhya Pradesh),404/93,9:00,-81,-10,0.4,3.42,2.89,3.4,461261,1.31,4.1,7.04,190837,29637,44878,1408,1935
India,Airtel (Haryana),404/96,9:00,-61,-13,2.67,5.25,1.21,4.8,902798,2.57,3.95,7.07,433109,34539,26215,1197,1157
