,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
IMSI-Group,Time,Coverage,RSRQ,Drop Call (%),Block Call (%),Setup Failure (%),Setup Time (sec),Holding Time (min),Drop Call (%),Block Call (%),Setup Failure (%),DL Volume (MB),UL Volume (MB),DL Throughput (KB),UL Throughput (KB),Call Count
VIP_001,0:00,-63,-16,1.09,2.19,7,15.7,169954,1.48,3.87,3.1,268694,48441,35673,4142,2137
VIP_002,0:00,-85,-9,4.45,5.08,4.1,18,991827,4.17,3.05,6.07,945523,43710,10991,4901,99
VIP_003,0:00,-120,-10,4.11,4.58,3.98,18.3,112379,1.13,1.45,7.5,523882,39274,27340,2639,2018
VIP_004,0:00,-100,-11,4.22,1.18,7.25,8,516576,4.34,2.91,4.22,220245,27706,7258,2889,1751
VIP_005,0:00,-89,-6,0.22,3.63,2.51,5.7,291881,3.89,0.26,2.14,248169,20017,10344,3778,2870
VIP_006,0:00,-78,-7,4.72,1.55,9.18,15,358285,3.53,3.73,7.88,746366,6930,25938,3727,1974
VIP_007,0:00,-101,-16,4.67,5.35,10.08,12.2,134225,4.2,4.03,1.98,313752,48214,21303,937,323
VIP_008,0:00,-102,-6,0.87,0.24,10.46,6.8,430308,0.25,2.06,5.64,515840,26996,5361,504,1761
VIP_009,0:00,-63,-15,0.26,2.24,2.97,2.5,488074,3.78,3.42,1.15,896169,12486,30668,4074,1436
VIP_010,0:00,-90,-13,3.65,0.16,5.51,6.4,432237,4.13,0.58,2.24,825599,13485,18661,2681,2241
VIP_011,0:00,-71,-12,5.49,4.37,11.6,12.5,418107,4.3,4.43,2.82,446453,30004,36220,1648,149
VIP_012,0:00,-113,-10,4.42,2.73,6.11,10.9,537314,1.2,1.5,2.93,116746,36114,49996,4092,566
VIP_013,0:00,-65,-16,0.32,1.63,4.99,9.1,234743,0.91,2.29,4.31,565106,13721,13631,3912,178
VIP_014,0:00,-72,-16,4.29,5.09,10.97,9.1,672716,3.89,1.29,11.37,919111,26571,48154,1025,1617
VIP_015,0:00,-98,-11,0.73,3.43,5.45,11.8,244843,4.95,3.1,5.02,439588,11630,26938,1346,337
VIP_016,0:00,-86,-12,1.22,2.35,6.24,10.7,696425,2.44,1.6,8.33,943279,26156,1197,3499,145
VIP_017,0:00,-90,-6,2.43,5.17,7.35,7.2,642835,3.2,4.57,8.6,626538,26989,40965,3498,2579
VIP_018,0:00,-107,-9,1.6,5.06,6.16,17.5,670556,5.25,2.38,5.51,908741,6510,37731,3285,2625
VIP_019,0:00,-69,-10,4.04,2.19,5.45,10.5,472021,5.03,1.58,1.02,983203,16448,29912,4151,1638
VIP_020,0:00,-77,-7,3.71,0.19,2.72,18.3,183490,4.37,2.19,2.56,639836,2629,16386,4595,1345
VIP_021,0:00,-90,-6,3.18,2.77,4.36,2.6,310898,3.55,2.11,9.14,763634,49499,21030,1160,2424
VIP_022,0:00,-88,-16,0.61,5.33,8.41,19.4,810475,2.02,0.05,6.42,831452,31518,45097,1043,2409
VIP_023,0:00,-86,-16,1.67,4.06,11.96,11.5,516883,4.84,2.96,2.6,662661,27894,47390,2249,2208
VIP_024,0:00,-116,-8,4.51,4.95,1.93,9.3,634720,2.51,2.43,6.61,291133,22057,20492,1493,394
VIP_025,0:00,-72,-7,0.18,4.56,8.23,12.7,132331,3.39,5.38,3.72,718865,13879,20913,2076,2488
VIP_026,0:00,-77,-15,0.12,2.32,4.37,2,981603,1.76,2.29,3.84,297992,6546,20084,4053,769
VIP_027,0:00,-119,-9,3.95,5.07,3.29,19.1,890049,3.35,4.49,0.52,188429,40781,17209,4801,482
VIP_028,0:00,-116,-12,4.51,5.03,8.89,15.9,850703,5.01,2.28,9.71,608846,24480,11324,2475,604
VIP_029,0:00,-60,-9,0.75,0.9,4.67,6.9,604986,4.17,3.56,7.9,646769,49099,21908,1483,1533
VIP_030,0:00,-60,-9,1.48,2.56,0.61,11.2,378621,1.7,4.78,8.91,821709,24010,40925,2778,2554
VIP_031,0:00,-93,-11,1.24,0.74,11.79,17.2,284461,0.33,1.44,2.86,729510,18385,38813,136,2251
VIP_032,0:00,-63,-13,1.52,1.66,4.53,14.3,789773,2.68,0.46,9.22,850427,15918,21558,1875,2031
VIP_033,0:00,-99,-16,5.3,3.78,9.55,17.4,368900,4.85,2.08,4.84,780337,30445,16576,3140,744
VIP_034,0:00,-97,-16,3.68,2.58,10.7,18.9,777921,4.82,3.26,6.16,157373,9389,5684,3826,656
VIP_035,0:00,-70,-15,4.47,3.38,1.61,17.3,179576,5.37,5.35,2.7,302072,3670,22687,1632,2232
VIP_036,0:00,-87,-16,1.49,3.1,11.56,12.4,118103,0.68,4.77,3.57,718485,25990,47542,2752,2585
VIP_037,0:00,-77,-6,5.36,2.09,7.65,15.6,374768,4.91,1.57,10.21,841644,27057,36443,1827,2654
VIP_038,0:00,-102,-16,5.26,5.42,0.86,5.1,166323,0.51,3.09,9.6,379231,3997,4549,1010,914
VIP_039,0:00,-76,-8,3.87,4.97,11.27,3,564279,4.73,0.1,11.77,108616,11237,43233,2037,1129
VIP_040,0:00,-64,-16,3.92,0.72,7.87,10.2,992161,1.61,0.35,3.57,383854,47488,7789,4187,1198
VIP_041,0:00,-60,-13,3.46,1.06,11.18,3.7,773293,0.34,1.68,1.95,807562,48107,1670,4362,457
VIP_042,0:00,-67,-10,0.93,2.54,7.01,5.7,870839,3.08,3.26,5.67,569994,10304,46357,4110,1847
VIP_043,0:00,-80,-13,0.97,4.82,9.74,11.3,539124,2.11,4.03,0.6,535577,38556,6045,2939,334
VIP_044,0:00,-74,-8,3.44,0.64,2.52,12.5,466722,4.79,0.09,8.64,453579,4752,29221,58,1110
