,,Coverage,Quality,VoLTE,,,,,Data,,,,,,,
IMSI-Group,Time,Coverage,RSRQ,Drop Call (%),Block Call (%),Setup Failure (%),Setup Time (sec),Holding Time (min),Drop Call (%),Block Call (%),Setup Failure (%),DL Volume (MB),UL Volume (MB),DL Throughput (KB),UL Throughput (KB),Call Count
VIP_001,9:00,-78,-11,2.25,3.84,10.6,14.3,557842,1.67,5.31,1.71,349050,39982,1194,4662,2641
VIP_002,9:00,-69,-14,1.84,3.57,8.6,8,630569,2.58,0.22,0.96,799194,7503,13403,3012,1460
VIP_003,9:00,-89,-14,4.97,5.45,5.59,11,605237,4.51,1.87,11.31,502936,42668,44977,3183,2045
VIP_004,9:00,-71,-11,0.85,5.15,5.38,18.2,213032,4.53,2.33,8.77,289427,31295,14237,2651,221
VIP_005,9:00,-93,-6,2.68,2.35,6.22,2.2,346154,2.26,4.34,3.44,369363,15342,38539,1509,1049
VIP_006,9:00,-81,-13,2.81,1.38,7.69,10.8,410522,1.24,4.38,3.02,768947,16923,30582,578,2574
VIP_007,9:00,-109,-8,3.11,2.99,7.2,13.7,935203,1.07,3.46,8.17,318467,8041,13567,944,2357
VIP_008,9:00,-109,-11,0.22,1,10.67,13.6,427059,0.73,2.42,4.7,837395,48439,21915,2228,845
VIP_009,9:00,-80,-12,3.27,3.11,3.14,11.9,364546,1.28,1.41,11.12,464815,17963,24280,3252,2844
VIP_010,9:00,-102,-8,5,4.19,11.08,15.2,342708,1.48,1.32,9.39,590820,37422,20653,58,1725
VIP_011,9:00,-85,-12,0.44,4.49,7.42,7,648032,4.75,4.98,5.41,709958,16851,36024,4395,489
VIP_012,9:00,-81,-9,3.28,0.51,6.54,12.4,161046,3.9,0.35,8.81,922505,14354,40233,4033,2510
VIP_013,9:00,-87,-10,0.86,4.87,4.12,13.6,116145,2.12,2.59,9.17,296561,18736,6622,2937,1328
VIP_014,9:00,-82,-8,2.53,2.82,7.73,18.4,502481,3.81,2.22,6.43,876322,27831,44877,1986,281
VIP_015,9:00,-97,-15,4.65,3.88,9.76,12.9,279343,2.54,1.32,10.93,778511,41866,41902,2877,2217
VIP_016,9:00,-100,-14,3.65,0.84,11.71,15.1,792379,0.76,4,8.3,812107,7120,9688,956,1735
VIP_017,9:00,-95,-7,2.22,3.62,10.88,10.4,747898,5.21,1.88,11.73,132156,14576,16715,492,2913
VIP_018,9:00,-115,-6,3.56,4.62,1.56,13.4,444694,1.38,4.58,8.94,479549,6716,38621,3053,1780
