Region,Time,Subscriber_Prepaid,Subscriber_Postpaid,Subscriber_Combo1,Subscriber_Combo2,Subscriber_Combo3,Subscriber_Combo4,Subscriber_Combo5,Subscriber_Combo6,Subscriber_Combo12,VoLTE Holding Time_VoLTE holding Time,Data_Downlink traffic,Data_Uplink traffic,Coverage_Avg RSRP,Coverage_SINR,Quality_Avg RSRQ,VoLTE_Call setup success rate,VoLTE_Call completion success rate,VoLTE_Call setup time ,VoLTE_Drop call rate,VoLTE_IMS registration latency ,VoLTE_IMS registration success rate,VoLTE_HO interruption time,VoLTE_MOS,VoLTE_Speech path delay,Data_Call setup success rate,Data_Call completion success rate,Data_Call setup time ,Data_Drop call rate,Data_HO interruption time ,Data_Low throughput samples rate,Data_Retransmission rate,Streaming_Startup time,Streaming_MOS,Streaming_Freeze rate ,Streaming_Number of video stall,Streaming_Dropped frame rate,Streaming_Reproduction start failure rate,Streaming_Reproduction start delay,Streaming_Buffering time,Streaming_number of re-buffering,Streaming_Synchronization index,Streaming_Throughput,Streaming_Inter packet delay,Streaming_Jitter,Streaming_Packet loss rate,Streaming_Round trip time,Gaming_Startup time,Gaming_MOS,Gaming_Dropped frame rate,Gaming_Reproduction start failure rate,Gaming_Reproduction start delay,Gaming_Throughput,Gaming_Inter packet delay,Gaming_Jitter,Gaming_Packet loss rate,Gaming_Round trip time,Chatting_DNS lookup attempt,Chatting_Avg ping time,Chatting_App login time
ALX,0:00,2050,33241,19552,1822,2937,2483,2444,1315,2687,-15.32,2195.88,394.62,-71.82,17.3,-11.5,100,98.26,234.37,0.23,56.48,97.69,96.34,5,59.06,97.21,99.83,204.06,0.78,77.03,1.54,0.35,956.89,5,0.58,2,0.43,0.61,415.27,553.51,3,0.33,7.41,46.84,69.84,0.76,34.55,650.95,5,0.3,0.22,687.38,5.36,59.13,84.98,0.83,80.05,3,71.22,43.04
AMK,0:00,5545,31980,20905,1937,1453,2532,2512,1089,1553,117.92,2609.31,406.99,-74.46,23.88,-11.77,97.34,98.96,231.45,0.53,56.82,97.09,84.68,5,72.83,98.63,97.58,288.97,0.69,86.24,1.75,0.22,504.94,4,0.6,2,0.13,0.99,909.45,347.03,3,0.8,6.82,81.35,51.4,0.97,70.84,398.74,4,0.18,0.94,929.46,1.71,97.17,66.65,0.84,71.76,2,55.17,63.63
ART,0:00,4045,31931,20130,2091,1420,2055,2208,1992,2035,116.09,1662.19,352.02,-84.91,19.74,-8.27,97.35,97.11,282.41,0.58,95.55,97.43,86.92,5,51.62,97.73,98.93,277.63,0.21,80,1.98,0.21,485.2,4,0.65,1,0.24,0.67,320.95,964.71,1,0.21,3.68,93.98,66.6,0.39,66.12,405.95,5,0.88,0.28,642.77,2.15,72.02,77.46,0.4,86.36,3,33.49,90.79
AYE,0:00,2793,29845,19002,2637,1067,1448,1731,1648,2311,66.97,2062.75,370.84,-87.55,16.29,-10.72,98.81,97.06,168.41,0.12,67.9,98.32,75.93,5,92.18,97.75,97.77,290.28,0.17,43.88,1.96,0.47,953.69,4,0.81,1,0.94,0.27,766.26,979.41,3,0.43,3.71,65.58,96.83,0.11,34.32,406.62,5,0.55,0.4,693.53,9.39,97.5,94.07,0.79,36.24,2,93.91,67.66
BDK,0:00,4654,29992,20727,1713,773,1509,1330,1743,2197,129.33,3109.52,426.38,-75.57,21.75,-8.81,97.99,97.91,227.49,0.64,79.81,99.49,65.56,4,97.91,97.17,98.04,293.94,0.56,90,1.76,0.11,953.52,4,0.4,1,0.95,0.83,445.39,484.75,2,0.49,1.71,92.52,79.56,0.79,90.44,455.28,4,0.17,0.69,429.54,2.68,68.31,42.52,0.23,75.1,3,39.61,90.62
BKK,0:00,1057,32708,20575,1972,1267,2402,2257,2691,1545,92.73,2084.34,392.04,-78.91,18.95,-11.91,98.71,97.39,174.92,0.42,39.2,97.96,57.64,4,58.19,97.22,99.79,251.87,0.2,54.87,1.99,0.32,771.21,5,0.35,1,0.74,0.65,659.22,404.11,3,0.95,8.18,62.37,75.25,0.79,76.71,678.51,5,0.15,0.96,799.44,7.38,66.22,40.11,0.88,66.85,3,68.51,70.3
BKT,0:00,3527,32411,19653,2347,2926,1753,2402,1663,1665,121.55,1670.56,393.62,-80.86,18.41,-8.48,97.02,97.12,179.33,0.48,81.08,99.66,79.25,4,58.48,97.06,99.64,181.81,0.36,55.18,1.01,0.32,894.48,5,0.86,1,0.48,0.98,947.85,529.62,3,0.14,1.32,38.96,69.52,0.25,52.36,411.53,4,0.89,0.39,545.72,4.67,97.89,63.38,0.65,41.98,2,53.15,63.31
BLT,0:00,3653,31101,19031,1970,1509,2179,1608,2322,2481,152.23,2524.95,394.22,-77.29,21.45,-11.12,98.01,99.24,261.48,0.16,94.56,97.94,90.95,4,77.22,97.2,99.92,236.24,0.46,39.49,1.63,0.32,950.5,5,0.15,3,0.12,0.37,626.5,788.66,2,0.5,4.97,96.1,37.8,0.7,71.92,649.36,4,0.25,0.99,744.79,9.18,41.58,45.65,0.69,83.34,2,92.07,61.95
BLY,0:00,3183,30525,19424,1651,2000,1266,1725,2322,2137,133.78,2906.95,386.91,-86.24,18.91,-9.13,97.21,97.26,261.39,0.69,42.27,97.87,72.86,4,49.25,97.06,97.82,267.59,0.72,41.6,1.08,0.22,600.21,5,0.74,3,0.75,0.11,647.97,314.43,2,0.21,4.09,59.97,77.52,0.22,34.36,614.09,4,0.41,0.61,880.84,6.62,90.8,71.86,0.74,98.06,3,73.71,92.17
BSN,0:00,3864,29979,20212,1465,1075,2273,1726,1220,2009,132.00,1339.53,400.81,-74.41,21.64,-11.82,97.81,98.93,222.74,0.14,64.65,98.67,49.89,4,85.55,99.9,97.91,211.69,0.24,48.6,1.53,0.38,495.7,4,0.75,3,0.96,0.29,601.77,381.98,3,0.59,9.05,76.95,53.41,0.78,72.71,735.78,5,0.31,0.19,810.11,8.13,88.86,96.89,0.58,82.89,3,76.7,68.87
