Counties,States,Time,Subscriber,Coverage RSRP,Quality RSRQ,VoLTE Drop Call (%),VoLTE Block Call (%),VoLTE Setup Failure (%),VoLTE Setup Time (sec),VoLTE Holding Time (min),Data Drop Call (%),Data Block Call (%),Data Setup Failure (%),Data DL Volume (MB),Data UL Volume (MB),Data DL Throughput (kbps),Data UL Throughput (kbps)
Autauga County,Alabama,2017-1-1-0-0,43389833,-67.77,-10,0.01,0.04,3.19,73519,91425,1,0.85,2.36,356998,4602,696,530
Baldwin County,Alabama,2017-1-1-0-0,38900548,-93,-12,3.6,3.7,7.9,6.6,499739,2,4.7,7.24,532897,38727,13767,4136
Barbour County,Alabama,2017-1-1-0-0,20967807,-107,-10,2.81,4.95,4.68,1.3,828363,4.78,1.3,11.12,548131,37429,8655,1567
Bibb County,Alabama,2017-1-1-0-0,99933033,-84,-7,0.51,2.19,2.72,7.2,210526,3.38,0.84,3.32,537015,47330,41654,1343
Blount County,Alabama,2017-1-1-0-0,61361924,-98,-6,2.88,4.56,5.6,10.8,604469,0.26,2.57,6.67,820353,18203,44602,3609
Bullock County,Alabama,2017-1-1-0-0,42133141,-90,-12,5.28,2.97,6.42,12,922644,0.8,0.29,7.56,870898,36737,37021,2648
Butler County,Alabama,2017-1-1-0-0,52104978,-73,-12,3.79,0.44,0.59,12.4,889642,0.06,2.41,5.53,282363,35605,13371,2740
Calhoun County,Alabama,2017-1-1-0-0,60509513,-73,-15,5.28,0.77,11.33,1,984122,3.42,1.88,7.4,784507,2159,44932,688
Chambers County,Alabama,2017-1-1-0-0,76057722,-96,-8,5.15,4.38,5,16.6,923526,4.12,5.18,7.2,465084,23157,11703,3664
Cherokee County,Alabama,2017-1-1-0-0,98231457,-84,-14,5.39,4.71,6.33,12.9,117855,2.26,4.67,2.37,286591,26454,27114,4310
Chilton County,Alabama,2017-1-1-0-0,10320812,-103,-9,4.44,4.74,11.77,19.6,267576,2.18,1.09,2.7,838345,9883,22578,3320
Choctaw County,Alabama,2017-1-1-0-0,54117322,-88,-10,0.44,0.79,8.46,7.8,675481,0.85,0.96,4.13,500287,48197,4966,706
Clarke County,Alabama,2017-1-1-0-0,78181075,-106,-8,1.62,0.63,10.25,0.9,346049,1.78,1.76,1.04,800857,47975,15673,4724
